year,city,country,city,local_avg_temp,global_avg_temp
1981,San Jose,United States,San Jose,15.22,9.17
1982,San Jose,United States,San Jose,14.00,8.64
1983,San Jose,United States,San Jose,15.07,9.03
1984,San Jose,United States,San Jose,14.97,8.69
1985,San Jose,United States,San Jose,14.23,8.66
1986,San Jose,United States,San Jose,15.00,8.83
1987,San Jose,United States,San Jose,14.95,8.99
1988,San Jose,United States,San Jose,15.08,9.20
1989,San Jose,United States,San Jose,14.45,8.92
1990,San Jose,United States,San Jose,14.73,9.23
1991,San Jose,United States,San Jose,14.50,9.18
1992,San Jose,United States,San Jose,15.53,8.84
1993,San Jose,United States,San Jose,14.97,8.87
1994,San Jose,United States,San Jose,14.21,9.04
1995,San Jose,United States,San Jose,15.31,9.35
1996,San Jose,United States,San Jose,15.56,9.04
1997,San Jose,United States,San Jose,15.75,9.20
1998,San Jose,United States,San Jose,14.38,9.52
1999,San Jose,United States,San Jose,14.41,9.29
2000,San Jose,United States,San Jose,15.02,9.20
2001,San Jose,United States,San Jose,15.25,9.41
2002,San Jose,United States,San Jose,15.00,9.57
2003,San Jose,United States,San Jose,15.43,9.53
2004,San Jose,United States,San Jose,15.37,9.32
2005,San Jose,United States,San Jose,15.17,9.70
2006,San Jose,United States,San Jose,15.02,9.53
2007,San Jose,United States,San Jose,14.94,9.73
2008,San Jose,United States,San Jose,15.05,9.43
2009,San Jose,United States,San Jose,15.02,9.51
2010,San Jose,United States,San Jose,14.67,9.70
2011,San Jose,United States,San Jose,14.50,9.52
2012,San Jose,United States,San Jose,15.05,9.51
2013,San Jose,United States,San Jose,16.23,9.61
